,City,Purchase Power,Health Care,Pollution,QoL_H,Crime Rating,Unesco,lat,lng,Country
17,Dallas,81.66608166608168,65.43324903500599,90.77039601817788,82.64106792920404,65.5264564404062,0.0,32.7766642,-96.7969879,United States
18,Baltimore,84.70808470808471,68.21509383734859,84.37567626054967,83.46148725463705,64.12346338856226,0.0,39.2903848,-76.6121893,United States
19,Athens,23.013923013923016,33.64834287235459,29.690543172473493,54.15998315254042,62.30625334045965,36.36363636363637,37.9838096,23.7275388,United States
20,Atlanta,87.10658710658711,53.61373619060296,68.26444492534084,82.61258114707096,60.36878674505611,0.0,33.7489954,-84.3879824,United States
21,Orlando,75.68737568737569,73.44602688672968,76.55269422202986,83.64950001671545,59.0726884019241,0.0,28.5383355,-81.3792365,United States
22,Chicago,70.65637065637065,56.022893651004935,24.864747890067086,82.72652827560331,58.337787279529664,0.0,41.8781136,-87.62979820000001,United States
23,Birmingham,46.83514683514683,72.40782643418076,71.98658299069466,79.70123201306913,48.97113842864778,0.0,33.5185892,-86.8103567,United States
24,New York,57.540657540657534,40.67616132037802,12.995022722354468,72.03259026284124,48.73062533404596,9.090909090909092,40.7127753,-74.0059728,United States
25,Honolulu,61.02726102726103,48.1831492080394,32.76347111014932,82.08272699939548,44.46819882415821,0.0,21.3069444,-157.8583333,United States
26,Austin,73.52287352287352,70.25156395580994,31.20536680372214,86.0309950030418,42.27685729556387,0.0,30.267153000000004,-97.7430608,United States
27,New Orleans,70.12987012987011,59.89617995474511,15.970569140878595,83.0056987405076,41.862640299305184,0.0,29.95106579999999,-90.0715323,United States
28,Seattle,84.33368433368433,72.71396246506056,35.59835533434321,84.65793210422683,41.64885088188135,9.090909090909092,47.6062095,-122.33207079999998,United States
29,Boston,61.8930618930619,76.1480101157993,66.83618264444927,83.92297312519311,39.858364510956704,0.0,42.360082500000004,-71.0588801,United States
30,Charlotte,82.83608283608285,68.21509383734859,72.54923176801557,84.82315544059875,25.855157669695352,0.0,35.2270869,-80.8431267,United States
31,Indianapolis,86.97788697788698,21.07014508185811,88.81194546634927,80.68687467487405,25.855157669695352,0.0,39.768403,-86.158068,United States
32,Newark,91.27179127179129,78.38413416744311,67.23652888985067,78.45351095563979,25.855157669695352,9.090909090909092,40.735657,-74.1723667,United States
33,Vancouver,48.76564876564877,83.72154931452151,19.995671932482146,77.70145990732621,25.614644575093532,0.0,49.282729100000005,-123.1207375,United States
34,Nashville,86.48648648648648,52.53560495141755,0.0,82.60688379064433,19.561731694281136,0.0,36.1626638,-86.78160159999999,United States
